GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lms,com.lms.utils,DatabaseInitializer,56,0,0,0,20,0,2,0,2,0
lms,com.lms.utils,Validator,34,225,12,28,6,46,10,14,0,4
lms,com.lms.utils,AuthUtil,8,0,2,0,3,0,2,0,1,0
lms,com.lms.utils,NotificationToast,15,3,0,0,5,1,1,1,1,1
lms,com.lms.config,DatabaseConfig,0,10,0,0,0,3,0,2,0,2
lms,com.lms.dao,ReservationDAO,0,271,2,12,0,80,2,11,0,6
lms,com.lms.dao,AppUserDAO,3,402,11,21,0,113,11,14,0,9
lms,com.lms.dao,CategoryDAO,3,337,7,17,0,90,7,14,0,9
lms,com.lms.dao,AuthorDAO,3,341,7,17,0,95,7,14,0,9
lms,com.lms.dao,BorrowDAO,3,324,5,11,0,94,5,10,0,7
lms,com.lms.dao,BookDAO,4,444,8,16,0,129,8,13,0,9
lms,com.lms.controllers,CategoryController,212,0,8,0,51,0,11,0,7,0
lms,com.lms.controllers,ViewReservationsController,55,0,2,0,14,0,4,0,3,0
lms,com.lms.controllers,AddReservationController,180,0,10,0,33,0,9,0,4,0
lms,com.lms.controllers,ViewBorrowingController,69,0,6,0,19,0,6,0,3,0
lms,com.lms.controllers,UpdateAuthorController,103,0,6,0,22,0,7,0,4,0
lms,com.lms.controllers,AddAuthorController,75,0,4,0,17,0,5,0,3,0
lms,com.lms.controllers,AddCategoryController,78,0,4,0,16,0,5,0,3,0
lms,com.lms.controllers,ReservationsController,160,0,4,0,39,0,7,0,5,0
lms,com.lms.controllers,AddBookController,295,0,18,0,52,0,13,0,4,0
lms,com.lms.controllers,AuthorController,207,0,8,0,50,0,11,0,7,0
lms,com.lms.controllers,ProfileController,217,0,14,0,38,0,12,0,5,0
lms,com.lms.controllers,BorrowingController,298,0,16,0,64,0,14,0,6,0
lms,com.lms.controllers,ViewBookController,56,0,2,0,14,0,4,0,3,0
lms,com.lms.controllers,AddBorrowingController,299,0,20,0,55,0,14,0,4,0
lms,com.lms.controllers,LoginController,110,0,8,0,25,0,7,0,3,0
lms,com.lms.controllers,NavigationController,155,0,10,0,53,0,21,0,16,0
lms,com.lms.controllers,UpdateBookController,339,0,20,0,61,0,15,0,5,0
lms,com.lms.controllers,UpdateCategoryController,103,0,6,0,22,0,7,0,4,0
lms,com.lms.controllers,BookController,270,0,8,0,66,0,12,0,8,0
lms,com.lms.controllers,SignUpController,133,0,8,0,25,0,7,0,3,0
lms,com.lms,SecondaryController,6,0,0,0,3,0,2,0,2,0
lms,com.lms,App,53,0,0,0,15,0,5,0,5,0
lms,com.lms,PrimaryController,6,0,0,0,3,0,2,0,2,0
lms,com.lms.models,Category,0,6,0,0,0,3,0,1,0,1
lms,com.lms.models,AppUser,15,39,0,0,7,15,2,2,2,2
lms,com.lms.models,Reservation,0,15,0,0,0,6,0,1,0,1
lms,com.lms.models,Author,0,6,0,0,0,3,0,1,0,1
lms,com.lms.models,Book,6,21,0,0,3,8,1,1,1,1
lms,com.lms.models,Borrowing,0,22,0,0,0,9,0,2,0,2
